#time (s), theta (deg)
0.00, 0.000
0.01, 1.409
0.02, 2.817
0.03, 4.222
0.04, 5.623
0.05, 7.018
0.06, 8.407
0.07, 9.787
0.08, 11.158
0.09, 12.518
0.10, 13.865
0.11, 15.199
0.12, 16.518
0.13, 17.821
0.14, 19.106
0.15, 20.372
0.16, 21.619
0.17, 22.844
0.18, 24.047
0.19, 25.227
0.20, 26.381
0.21, 27.510
0.22, 28.612
0.23, 29.685
0.24, 30.730
0.25, 31.744
0.26, 32.727
0.27, 33.679
0.28, 34.597
0.29, 35.481
0.30, 36.330
0.31, 37.144
0.32, 37.921
0.33, 38.661
0.34, 39.364
0.35, 40.027
0.36, 40.651
0.37, 41.236
0.38, 41.780
0.39, 42.283
0.40, 42.744
0.41, 43.164
0.42, 43.541
0.43, 43.876
0.44, 44.167
0.45, 44.415
0.46, 44.620
0.47, 44.781
0.48, 44.898
0.49, 44.971
0.50, 44.999
0.51, 44.984
0.52, 44.925
0.53, 44.821
0.54, 44.674
0.55, 44.482
0.56, 44.247
0.57, 43.969
0.58, 43.647
0.59, 43.283
0.60, 42.876
0.61, 42.427
0.62, 41.937
0.63, 41.405
0.64, 40.833
0.65, 40.221
0.66, 39.569
0.67, 38.878
0.68, 38.150
0.69, 37.384
0.70, 36.581
0.71, 35.742
0.72, 34.868
0.73, 33.961
0.74, 33.019
0.75, 32.046
0.76, 31.041
0.77, 30.005
0.78, 28.940
0.79, 27.847
0.80, 26.726
0.81, 25.579
0.82, 24.407
0.83, 23.212
0.84, 21.993
0.85, 20.753
0.86, 19.492
0.87, 18.212
0.88, 16.915
0.89, 15.601
0.90, 14.271
0.91, 12.928
0.92, 11.572
0.93, 10.204
0.94, 8.827
0.95, 7.440
0.96, 6.047
0.97, 4.648
0.98, 3.244
0.99, 1.836
1.00, 0.428
1.01, -0.982
1.02, -2.390
1.03, -3.796
1.04, -5.199
1.05, -6.596
1.06, -7.987
1.07, -9.370
1.08, -10.743
1.09, -12.106
1.10, -13.458
1.11, -14.796
1.12, -16.119
1.13, -17.427
1.14, -18.718
1.15, -19.990
1.16, -21.243
1.17, -22.475
1.18, -23.685
1.19, -24.871
1.20, -26.034
1.21, -27.170
1.22, -28.280
1.23, -29.363
1.24, -30.416
1.25, -31.440
1.26, -32.432
1.27, -33.393
1.28, -34.322
1.29, -35.216
1.30, -36.076
1.31, -36.901
1.32, -37.689
1.33, -38.441
1.34, -39.155
1.35, -39.830
1.36, -40.466
1.37, -41.063
1.38, -41.619
1.39, -42.135
1.40, -42.609
1.41, -43.041
1.42, -43.431
1.43, -43.779
1.44, -44.083
1.45, -44.345
1.46, -44.563
1.47, -44.737
1.48, -44.867
1.49, -44.953
1.50, -44.995
1.51, -44.993
1.52, -44.947
1.53, -44.857
1.54, -44.723
1.55, -44.545
1.56, -44.323
1.57, -44.058
1.58, -43.749
1.59, -43.398
1.60, -43.004
1.61, -42.568
1.62, -42.090
1.63, -41.571
1.64, -41.011
1.65, -40.411
1.66, -39.771
1.67, -39.092
1.68, -38.375
1.69, -37.620
1.70, -36.828
1.71, -36.000
1.72, -35.137
1.73, -34.240
1.74, -33.308
1.75, -32.344
1.76, -31.349
1.77, -30.322
1.78, -29.266
1.79, -28.181
1.80, -27.069
1.81, -25.930
1.82, -24.766
1.83, -23.577
1.84, -22.365
1.85, -21.131
1.86, -19.877
1.87, -18.603
1.88, -17.310
1.89, -16.001
1.90, -14.676
1.91, -13.337
1.92, -11.984
1.93, -10.620
1.94, -9.245
1.95, -7.862
1.96, -6.470
1.97, -5.073
1.98, -3.670
1.99, -2.264
2.00, -0.855
2.01, 0.554
2.02, 1.963
2.03, 3.370
2.04, 4.774
2.05, 6.173
2.06, 7.565
2.07, 8.951
2.08, 10.328
2.09, 11.694
2.10, 13.049
2.11, 14.391
2.12, 15.720
2.13, 17.032
2.14, 18.328
2.15, 19.606
2.16, 20.865
2.17, 22.104
2.18, 23.320
2.19, 24.514
2.20, 25.684
2.21, 26.828
2.22, 27.946
2.23, 29.037
2.24, 30.100
2.25, 31.132
2.26, 32.135
2.27, 33.105
2.28, 34.044
2.29, 34.949
2.30, 35.819
2.31, 36.655
2.32, 37.454
2.33, 38.217
2.34, 38.942
2.35, 39.629
2.36, 40.277
2.37, 40.886
2.38, 41.455
2.39, 41.983
2.40, 42.469
2.41, 42.914
2.42, 43.317
2.43, 43.678
2.44, 43.996
2.45, 44.270
2.46, 44.501
2.47, 44.689
2.48, 44.832
2.49, 44.932
2.50, 44.987
2.51, 44.999
2.52, 44.966
2.53, 44.889
2.54, 44.768
2.55, 44.603
2.56, 44.395
2.57, 44.143
2.58, 43.847
2.59, 43.509
2.60, 43.128
2.61, 42.705
2.62, 42.239
2.63, 41.733
2.64, 41.185
2.65, 40.597
2.66, 39.969
2.67, 39.302
2.68, 38.596
2.69, 37.853
2.70, 37.072
2.71, 36.255
2.72, 35.403
2.73, 34.515
2.74, 33.594
2.75, 32.640
2.76, 31.654
2.77, 30.637
2.78, 29.590
2.79, 28.514
2.80, 27.409
2.81, 26.278
2.82, 25.121
2.83, 23.940
2.84, 22.735
2.85, 21.508
2.86, 20.259
2.87, 18.991
2.88, 17.704
2.89, 16.400
2.90, 15.079
2.91, 13.744
2.92, 12.396
2.93, 11.035
2.94, 9.663
2.95, 8.282
2.96, 6.893
2.97, 5.497
2.98, 4.096
2.99, 2.690
3.00, 1.282
3.01, -0.127
3.02, -1.536
3.03, -2.944
3.04, -4.348
3.05, -5.749
3.06, -7.144
3.07, -8.532
3.08, -9.911
3.09, -11.281
3.10, -12.639
3.11, -13.986
3.12, -15.318
3.13, -16.636
3.14, -17.937
3.15, -19.221
3.16, -20.485
3.17, -21.730
3.18, -22.953
3.19, -24.154
3.20, -25.331
3.21, -26.484
3.22, -27.610
3.23, -28.709
3.24, -29.780
3.25, -30.822
3.26, -31.834
3.27, -32.814
3.28, -33.763
3.29, -34.678
3.30, -35.559
3.31, -36.405
3.32, -37.215
3.33, -37.989
3.34, -38.726
3.35, -39.425
3.36, -40.085
3.37, -40.706
3.38, -41.287
3.39, -41.827
3.40, -42.326
3.41, -42.784
3.42, -43.200
3.43, -43.573
3.44, -43.904
3.45, -44.191
3.46, -44.436
3.47, -44.636
3.48, -44.793
3.49, -44.906
3.50, -44.975
3.51, -45.000
3.52, -44.981
3.53, -44.917
3.54, -44.810
3.55, -44.658
3.56, -44.463
3.57, -44.224
3.58, -43.942
3.59, -43.616
3.60, -43.248
3.61, -42.837
3.62, -42.385
3.63, -41.891
3.64, -41.355
3.65, -40.779
3.66, -40.164
3.67, -39.508
3.68, -38.814
3.69, -38.082
3.70, -37.313
3.71, -36.507
3.72, -35.665
3.73, -34.788
3.74, -33.877
3.75, -32.933
3.76, -31.957
3.77, -30.949
3.78, -29.911
3.79, -28.843
3.80, -27.747
3.81, -26.624
3.82, -25.475
3.83, -24.301
3.84, -23.103
3.85, -21.882
3.86, -20.640
3.87, -19.378
3.88, -18.096
3.89, -16.797
3.90, -15.482
3.91, -14.151
3.92, -12.806
3.93, -11.449
3.94, -10.081
3.95, -8.702
3.96, -7.315
3.97, -5.921
3.98, -4.521
3.99, -3.117
4.00, -1.710
4.01, -0.301
4.02, 1.109
4.03, 2.517
4.04, 3.923
4.05, 5.325
4.06, 6.721
4.07, 8.111
4.08, 9.494
4.09, 10.866
4.10, 12.229
4.11, 13.579
4.12, 14.916
4.13, 16.238
4.14, 17.544
4.15, 18.833
4.16, 20.104
4.17, 21.355
4.18, 22.585
4.19, 23.793
4.20, 24.977
4.21, 26.137
4.22, 27.271
4.23, 28.379
4.24, 29.459
4.25, 30.509
4.26, 31.530
4.27, 32.520
4.28, 33.478
4.29, 34.404
4.30, 35.295
4.31, 36.152
4.32, 36.973
4.33, 37.759
4.34, 38.507
4.35, 39.217
4.36, 39.889
4.37, 40.522
4.38, 41.115
4.39, 41.667
4.40, 42.179
4.41, 42.649
4.42, 43.078
4.43, 43.464
4.44, 43.808
4.45, 44.109
4.46, 44.366
4.47, 44.580
4.48, 44.750
4.49, 44.877
4.50, 44.959
4.51, 44.997
4.52, 44.991
4.53, 44.941
4.54, 44.847
4.55, 44.709
4.56, 44.527
4.57, 44.301
4.58, 44.032
4.59, 43.719
4.60, 43.364
4.61, 42.966
4.62, 42.527
4.63, 42.045
4.64, 41.522
4.65, 40.958
4.66, 40.355
4.67, 39.711
4.68, 39.029
4.69, 38.308
4.70, 37.550
4.71, 36.755
4.72, 35.924
4.73, 35.058
4.74, 34.157
4.75, 33.223
4.76, 32.256
4.77, 31.258
4.78, 30.229
4.79, 29.170
4.80, 28.082
4.81, 26.968
4.82, 25.826
4.83, 24.660
4.84, 23.469
4.85, 22.255
4.86, 21.019
4.87, 19.763
4.88, 18.487
4.89, 17.193
4.90, 15.882
4.91, 14.556
4.92, 13.215
4.93, 11.862
4.94, 10.497
4.95, 9.121
4.96, 7.737
4.97, 6.345
4.98, 4.947
4.99, 3.543
5.00, 2.137
5.01, 0.728
5.02, -0.681
5.03, -2.090
5.04, -3.497
5.05, -4.900
5.06, -6.298
5.07, -7.690
5.08, -9.075
5.09, -10.451
5.10, -11.817
5.11, -13.171
5.12, -14.512
5.13, -15.838
5.14, -17.150
5.15, -18.444
5.16, -19.720
5.17, -20.977
5.18, -22.214
5.19, -23.429
5.20, -24.620
5.21, -25.788
5.22, -26.930
5.23, -28.046
5.24, -29.134
5.25, -30.194
5.26, -31.224
5.27, -32.223
5.28, -33.191
5.29, -34.126
5.30, -35.028
5.31, -35.896
5.32, -36.728
5.33, -37.524
5.34, -38.284
5.35, -39.006
5.36, -39.689
5.37, -40.334
5.38, -40.939
5.39, -41.504
5.40, -42.028
5.41, -42.511
5.42, -42.952
5.43, -43.352
5.44, -43.708
5.45, -44.022
5.46, -44.293
5.47, -44.520
5.48, -44.703
5.49, -44.843
5.50, -44.939
5.51, -44.990
5.52, -44.998
5.53, -44.961
5.54, -44.880
5.55, -44.755
5.56, -44.586
5.57, -44.374
5.58, -44.118
5.59, -43.819
5.60, -43.476
5.61, -43.092
5.62, -42.664
5.63, -42.195
5.64, -41.685
5.65, -41.134
5.66, -40.542
5.67, -39.911
5.68, -39.240
5.69, -38.531
